HebName,Name,ID,EngName,Region,SubDistrict,NaturalZone,StausMunicipal,Metropolitan,Religion,Pop2015,JewsOthers,Jews,Arebs,YearEst,TypeSuratYeshuv,Affiliation ,Coordinate,Hight,RegionalComittee,Police,YearUpdate,Link
ברקן,ברקן,3654,BARQAN,7,73,,72,145,1,1741,1.7,1.6,,1981,370,9,2104466805,432,710,4164,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3654
ברקת,ברקת,2038,BAREQET,4,42,422,25,142,1,1867,1.9,1.9,,1952,310,2,1948965814,82,424,5160,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2038
בת הדר,בת הדר,1323,BAT HADAR,6,61,614,36,,1,704,0.7,0.7,,1995,350,,1618161736,58,633,3840,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1323
בת חן,בת חן,1361,BAT HEN,4,41,411,16,141,1,422,0.4,0.4,,1967,350,,1881869630,34,409,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1361
בת חפר,בת חפר,1319,BAT HEFER,4,41,412,16,141,1,5448,5.4,5.4,,1996,180,,2014969329,57,409,5150,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1319
בת ים,בת ים,6200,BAT YAM,5,53,513,0,123,1,128892,128.2,105.7,,1926,140,,1765265859,23,502,2200,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=6200
בת עין,בת עין,3794,BAT AYIN,7,76,,76,445,1,1226,1.2,1.2,,1989,370,11,2095961845,810,714,4352,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3794
בת שלמה,בת שלמה,33,BAT SHELOMO,3,32,322,15,243,1,608,0.6,0.6,,1889,310,7,2005972291,92,303,1181,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=33
בתי זיקוק - קישון,בתי זיקוק - קישון,1736, ,3,31,311,,210,,,,,,,520,,2057074450,,,1160,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1736
ג'דיידה-מכר,ג'דיידה-מכר,1292,JUDEIDE-MAKER,2,24,246,99,241,2,20078,,,20,,260,,2140875939,38,252,1330,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1292
ג'ולס,ג'ולס,485,JULIS,2,24,243,99,,2,6118,,,6.1,,280,,2175076079,110,252,1330,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=485
ג'לג'וליה,ג'לג'וליה,627,JALJULYE,4,42,421,99,142,2,9361,,,9.2,,280,,1957567326,37,451,5150,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=627
ג'נאביב (שבט),ג'נאביב (שבט),976,JUNNABIB,6,62,623,,,3,,,,,,460,,2030056900,0,699,3481,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=976
ג'סר א-זרקא,ג'סר א-זרקא,541,JISR AZ-ZARQA,3,32,324,99,,2,13962,,,13.9,,270,,1919971586,11,353,1181,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=541
ג'ש (גוש חלב),ג'ש (גוש חלב),487,JISH(GUSH HALAV),2,21,212,99,,2,3078,,,3.1,,290,,2420276976,745,258,1230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=487
ג'ת,ג'ת,628,JATT,3,32,324,99,,2,11164,,,11.1,,270,,2036670061,57,354,1450,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=628
גאולי תימן,גאולי תימן,872,GE'ULE TEMAN,4,41,411,16,141,1,369,0.3,0.3,,1947,310,2,1909769986,14,409,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=872
גאולים,גאולים,379,GE'ULIM,4,41,411,18,141,1,896,0.9,0.9,,1945,310,1,1950268938,56,412,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=379
"גאון הירדן מ""א 3","גאון הירדן מ""א 3",1963,no name,2,22,222,3,,,,,,,,530,,,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1963
גאליה,גאליה,853,GE'ALYA,4,44,442,27,143,1,992,1,1,,1948,310,1,1779264365,22,456,5230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=853
גבולות,גבולות,352,GEVULOT,6,62,622,38,,1,299,0.3,0.3,,1943,330,15,1490356905,131,651,3430,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=352
גבים,גבים,424,GEVIM,6,61,614,37,,1,520,0.5,0.5,,1947,330,15,1618560187,116,651,3840,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=424
גבע,גבע,86,GEVA,2,23,232,8,,1,625,0.6,0.6,,1921,330,15,2351971912,13,204,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=86
גבע בנימין,גבע בנימין,3763,GEVA BINYAMIN,7,74,,73,445,1,5232,5.2,5.1,,1984,180,,2259863962,638,711,4354,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3763
גבע כרמל,גבע כרמל,683,GEVA  KARMEL,3,32,321,15,243,1,1166,1.2,1.1,,1949,310,1,1960272983,22,303,1181,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=683
גבעולים,גבעולים,2014,GIV'OLIM,6,62,621,39,,1,326,0.3,0.3,,1952,310,2,1611658959,121,651,3482,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2014
גבעון החדשה,גבעון החדשה,3644,GIV'ON HAHADASHA,7,74,,73,445,1,1151,1.1,1,,1980,370,11,2150963947,795,711,6180,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3644
גבעות בר,גבעות בר,1344,GEVA'OT BAR,6,62,623,41,341,1,815,0.8,0.8,,2004,370,19,1768358505,229,625,3485,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1344
גבעת אבני,גבעת אבני,1293,GIV'AT AVNI,2,22,222,3,,1,2082,2.1,2.1,,1991,190,,2414274234,282,206,1240,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1293
גבעת אלה,גבעת אלה,1288,GIV'AT ELA,2,23,237,9,,1,1911,1.9,1.9,,1988,370,13,2232373635,262,254,1440,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1288
גבעת ברנר,גבעת ברנר,147,GIV'AT BRENNER,4,44,441,28,143,1,2617,2.6,2.6,,1928,193,,1813164156,59,456,5230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=147
גבעת השלושה,גבעת השלושה,870,GIV'AT HASHELOSHA,4,42,422,20,142,1,783,0.8,0.8,,1925,330,15,1927366719,30,417,5130,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=870
גבעת זאב,גבעת זאב,3730,GIV'AT ZE'EV,7,74,,99,445,1,16123,16.1,15.9,,1983,170,,2160164047,731,705,6180,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3730
"גבעת ח""ן","גבעת ח""ן",207,GIV'AT HEN,4,42,421,20,131,1,362,0.4,0.4,,1933,310,1,1883667500,61,417,5140,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=207
גבעת חביבה,גבעת חביבה,1740, ,3,32,324,14,,,,,,,,520,,2022770709,,351,1450,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1740
גבעת חיים (איחוד),גבעת חיים (איחוד),2018,GIV'AT HAYYIM (IHUD),4,41,411,16,141,1,1067,1.1,1,,1932,330,15,1938570064,22,409,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2018
גבעת חיים (מאוחד),גבעת חיים (מאוחד),173,GIV'AT HAYYIM(ME'UHAD),4,41,411,16,141,1,984,1,1,,1932,330,15,1937069975,20,409,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=173
גבעת יואב,גבעת יואב,4021,GIV'AT YO'AV,2,29,294,71,,1,662,0.7,0.6,,1968,310,1,2641674503,312,219,1270,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4021
גבעת יערים,גבעת יערים,787,GIV'AT YE'ARIM,1,11,111,26,444,1,1386,1.4,1.4,,1950,310,1,2088063269,694,151,7004,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=787
גבעת ישעיהו,גבעת ישעיהו,919,GIV'AT YESHA'YAHU,1,11,112,26,444,1,796,0.8,0.8,,1958,310,6,1948961988,299,151,7004,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=919
"גבעת כ""ח","גבעת כ""ח",802,GIV'AT KOAH,4,42,422,25,142,1,859,0.9,0.8,,1950,310,1,1940865982,69,424,5160,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=802
"גבעת ניל""י","גבעת ניל""י",360,GIV'AT NILI,3,32,323,45,,1,733,0.7,0.7,,1953,310,9,2041471707,136,351,1450,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=360
גבעת עוז,גבעת עוז,703,GIV'AT OZ,2,23,234,13,,1,469,0.5,0.5,,1949,330,15,2189071785,113,254,1470,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=703
גבעת שמואל,גבעת שמואל,681,GIV'AT SHEMU'EL,4,42,422,0,132,1,25298,25.3,24.9,,1942,160,,1860066489,48,427,2370,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=681
גבעת שמש,גבעת שמש,566,GIV'AT SHEMESH,1,11,112,26,444,1,74,0.1,0.1,,1954,340,,1955163138,256,151,7004,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=566
גבעת שפירא,גבעת שפירא,1077,GIV'AT SHAPPIRA,4,41,411,16,141,1,434,0.4,0.4,,1958,310,10,1886069600,37,409,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1077
גבעתי,גבעתי,793,GIV'ATI,6,61,611,33,143,1,955,1,0.9,,1950,310,1,1698062683,37,616,3830,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=793
גבעתיים,גבעתיים,6300,GIV'ATAYIM,5,52,512,0,122,1,57508,57.5,55.8,,1922,150,,1822066430,42,503,2314,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=6300
גברעם,גברעם,342,GEVAR'AM,6,61,614,36,,1,372,0.4,0.4,,1942,330,15,1632461117,87,633,3840,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=342
גבת,גבת,133,GEVAT,2,23,234,9,,1,860,0.9,0.8,,1926,330,15,2202173114,93,254,1440,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=133
גדות,גדות,35,GADOT,2,21,213,1,,1,406,0.4,0.4,,1949,330,15,2582276940,115,253,1220,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=35
גדיש,גדיש,145,GADISH,2,23,234,8,,1,399,0.4,0.4,,1956,310,1,2232471829,66,204,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=145
גדעונה,גדעונה,442,GID'ONA,2,23,232,8,,1,411,0.4,0.4,,1949,350,,2339371720,-9,204,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=442
גדרה,גדרה,2550,GEDERA,4,44,441,99,143,1,26217,26.1,25.6,,1884,160,,1792763567,57,453,5230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2550
"גולן דרומי מ""א 71","גולן דרומי מ""א 71",1966,no name,2,29,294,71,,,,,,,,530,,2704074680,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1966
"גולן צפוני מ""א 71","גולן צפוני מ""א 71",1962,no name,2,29,292,71,,,,,,,,530,,2709077860,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1962
"גולן תיכון מ""א 71","גולן תיכון מ""א 71",1964,no name,2,29,293,71,,,,,,,,530,,2670076100,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1964
גונן,גונן,852,GONEN,2,21,211,1,,1,329,0.3,0.3,,1951,330,15,2607478109,90,253,1210,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=852
גורן,גורן,755,GOREN,2,24,244,52,,1,441,0.4,0.4,,1950,310,1,2224377349,368,255,1350,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=755
גורנות הגליל,גורנות הגליל,1219,GORNOT HAGALIL,2,24,244,52,,1,168,0.2,0.2,,1980,350,,2236377386,394,255,1350,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1219
גזית,גזית,457,GAZIT,2,23,233,9,,1,655,0.7,0.6,,1948,330,15,2422272714,129,254,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=457
גזר,גזר,370,GEZER,4,43,432,30,143,1,273,0.3,0.3,,1945,330,15,1925264268,122,426,5220,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=370
גיאה,גיאה,706,GE'A,6,61,614,36,,1,929,0.9,0.9,,1949,310,1,1624261519,54,633,3840,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=706
גיבתון,גיבתון,196,GIBBETON,4,44,441,28,143,1,327,0.3,0.3,,1933,350,,1811964406,42,456,5230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=196
גיזו,גיזו,1043,GIZO,1,11,112,26,,1,188,0.2,0.2,,1968,350,,1943163471,196,151,7004,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1043
גילון,גילון,1204,GILON,2,24,242,56,241,1,1082,1.1,1.1,,1980,370,9,2224775646,302,205,1310,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1204
גילת,גילת,736,GILAT,6,62,622,42,344,1,1323,1.3,1.3,,1949,310,1,1668758193,136,651,3430,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=736
גינוסר,גינוסר,262,GINNOSAR,2,22,221,6,,1,568,0.6,0.5,,1937,330,15,2493075035,-203,214,1240,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=262
גיניגר,גיניגר,92,GINNEGAR,2,23,234,9,,1,655,0.7,0.6,,1922,330,15,2244572993,107,254,1440,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=92
גינתון,גינתון,863,GINNATON,4,43,432,25,142,1,884,0.9,0.9,,1949,310,1,1919965224,57,424,5280,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=863
גיתה,גיתה,1206,GITTA,2,24,243,52,,1,266,0.3,0.2,,1980,370,13,2236176356,430,255,1320,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1206
גיתית,גיתית,3613,GITTIT,7,75,,75,,1,376,0.4,0.4,,1973,310,9,2373766773,309,712,4164,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3613
גלאון,גלאון,393,GAL'ON,6,61,611,35,,1,378,0.4,0.4,,1946,330,15,1856261577,199,632,3820,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=393
גלגל,גלגל,3606,GILGAL,7,75,,75,,1,171,0.2,0.1,,1970,330,15,2425165628,-249,712,4164,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3606
גליל ים,גליל ים,346,GELIL YAM,5,51,511,19,121,1,470,0.5,0.5,,1943,330,15,1842067381,44,401,2360,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=346
"גליל עליון מז מ""א 1","גליל עליון מז מ""א 1",1809,no name,2,21,212,1,,,,,,,,530,,2362077180,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1809
"גליל עליון מז מ""א 2","גליל עליון מז מ""א 2",1811,no name,2,21,212,2,,,,,,,,530,,2438076690,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1811
"גליל עליון מז מ""א 55","גליל עליון מז מ""א 55",1810,no name,2,21,212,55,,,,,,,,530,,2508077340,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1810
"גליל עליון מז של""ש","גליל עליון מז של""ש",1812,no name,2,21,212,,,,,,,,,530,,2385076890,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1812
"גליל תחתון מז מ""א 2","גליל תחתון מז מ""א 2",1820,no name,2,22,222,2,,,,,,,,530,,2419075400,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1820
"גליל תחתון מז מ""א 3","גליל תחתון מז מ""א 3",1819,no name,2,22,222,3,,,,,,,,530,,2426074060,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1819
"גליל תחתון מז מ""א 6","גליל תחתון מז מ""א 6",1821,no name,2,22,222,6,,,,,,,,530,,2484072760,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1821
"גליל תחתון מז של""ש","גליל תחתון מז של""ש",1822,no name,2,22,222,,,,,,,,,530,,2416075000,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1822
גלעד (אבן יצחק),גלעד (אבן יצחק),369,GAL'ED (EVEN YIZHAQ),2,23,236,13,,1,463,0.5,0.4,,1945,330,15,2074471810,185,254,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=369
"גמ""ל מחוז דרום","גמ""ל מחוז דרום",1997,no name,6,62,623,,,,,,,,,530,,,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1997
גמזו,גמזו,745,GIMZO,4,43,431,25,142,1,1165,1.2,1.2,,1950,310,8,1945464834,105,424,5280,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=745
גן הדרום,גן הדרום,1072,GAN HADAROM,4,44,441,32,143,1,563,0.6,0.6,,1953,310,10,1717663474,39,456,3830,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1072
גן השומרון,גן השומרון,225,GAN HASHOMERON,3,32,324,14,,1,803,0.8,0.8,,1934,310,10,2000870763,44,351,1180,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=225
גן חיים,גן חיים,239,GAN HAYYIM,4,42,421,20,141,1,816,0.8,0.8,,1935,310,1,1912967798,60,417,5140,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=239
גן יאשיה,גן יאשיה,734,GAN YOSHIYYA,4,41,412,16,141,1,976,1,1,,1949,310,1,1996469519,32,409,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=734
גן יבנה,גן יבנה,166,GAN YAVNE,4,44,441,99,143,1,22453,22.4,21.7,,1931,160,,1724763297,39,453,3830,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=166
גן נר,גן נר,1274,GAN NER,2,23,232,8,,1,2643,2.6,2.6,,1987,190,,2319971531,159,204,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1274
גן שורק,גן שורק,311,GAN SOREQ,4,44,442,27,143,1,677,0.7,0.7,,1950,310,1,1775365029,37,456,5210,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=311
גן שלמה,גן שלמה,144,GAN SHELOMO,4,44,441,28,143,1,518,0.5,0.5,,1927,330,15,1810664288,45,456,5230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=144
גן שמואל,גן שמואל,72,GAN SHEMU'EL,3,32,324,14,,1,870,0.9,0.9,,1913,330,15,1955370657,26,351,1180,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=72
גנות,גנות,836,GANNOT,4,43,432,40,133,1,623,0.6,0.6,,1953,310,10,1839465836,27,425,5210,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=836
גנות הדר,גנות הדר,549,GANNOT HADAR,4,41,411,18,141,1,909,0.9,0.9,,1964,350,,1908469191,49,412,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=549
גני הדר,גני הדר,1103,GANNE HADAR,4,43,432,30,143,1,278,0.3,0.3,,1958,350,,1862764289,89,426,5230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1103
גני טל,גני טל,1371,GANNE TAL,4,44,441,31,143,1,645,0.6,0.6,,2010,370,2,1804263293,78,456,5230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1371
גני יוחנן,גני יוחנן,862,GANNE YOHANAN,4,44,441,30,143,1,618,0.6,0.6,,1950,310,1,1848164064,63,426,5230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=862
גני מודיעין,גני מודיעין,3823,GANNE MODI'IN,7,74,,73,,1,2347,2.3,2.3,,1996,190,,2018064847,,711,4354,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3823
גני עם,גני עם,218,GANNE AM,4,42,421,20,142,1,240,0.2,0.2,,1934,350,,1908667313,34,417,5140,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=218
גני תקווה,גני תקווה,229,GANNE TIQWA,4,42,422,99,132,1,16053,16,15.8,,1953,170,,1883766300,74,455,2370,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=229
געש,געש,842,GA'ASH,4,41,411,19,141,1,682,0.7,0.7,,1951,330,15,1836568180,29,401,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=842
געתון,געתון,463,GA'TON,2,24,243,4,,1,568,0.6,0.6,,1948,330,15,2204176793,343,201,1350,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=463
גפן,גפן,39,GEFEN,1,11,112,26,,1,384,0.4,0.4,,1955,310,2,1885762761,159,151,7004,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=39
גרופית,גרופית,1129,GEROFIT,6,62,625,53,,1,262,0.3,0.2,,1963,330,15,2059542802,118,608,3460,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1129
גשור,גשור,4022,GESHUR,2,29,294,71,,1,264,0.3,0.3,,1971,330,15,2674574724,347,219,1270,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4022
גשר,גשר,305,GESHER,2,22,221,7,,1,425,0.4,0.4,,1939,330,15,2519972518,-198,202,1430,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=305
גשר הזיו,גשר הזיו,574,GESHER HAZIW,2,24,245,4,241,1,1605,1.6,1.6,,1949,330,15,2108077155,20,201,1350,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=574
גת (קיבוץ),גת (קיבוץ),340,GAT(QIBBUZ),6,61,611,35,,1,704,0.7,0.7,,1941,330,15,1805861511,137,632,3820,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=340
גת רימון,גת רימון,128,GAT RIMMON,4,42,422,20,132,1,300,0.3,0.3,,1926,350,,1888266395,67,417,5130,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=128
דאלית אל-כרמל,דאלית אל-כרמל,494,DALIYAT AL-KARMEL,3,31,311,99,223,2,16778,,,16.8,,270,,2050573325,418,356,1140,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=494
דבורה,דבורה,146,DEVORA,2,23,234,8,,1,227,0.2,0.2,,1956,310,1,2250571762,69,204,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=146
דבורייה,דבורייה,489,DABURIYYA,2,23,237,99,,2,9889,,,9.9,,280,,2351473300,163,251,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=489
דבירה,דבירה,849,DEVIRA,6,62,623,41,341,1,797,0.8,0.8,,1951,330,15,1833659122,309,625,3481,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=849
דברת,דברת,407,DAVERAT,2,23,234,9,,1,353,0.4,0.3,,1946,330,15,2330572807,174,254,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=407
דגניה א',דגניה א',62,DEGANYA ALEF,2,22,221,6,,1,534,0.5,0.5,,1909,330,15,2541573488,-200,214,1240,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=62
דגניה ב',דגניה ב',79,DEGANYA BET,2,22,221,6,,1,643,0.6,0.6,,1920,330,15,2542173403,-198,214,1240,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=79
"דוב""ב","דוב""ב",1067,DOVEV,2,21,212,2,,1,478,0.5,0.5,,1963,310,1,2383977297,768,209,1230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1067
דולב,דולב,3747,DOLEV,7,74,,73,,1,1302,1.3,1.3,,1983,370,11,2126964818,559,711,4354,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3747
דור,דור,738,DOR,3,32,321,15,243,1,398,0.4,0.4,,1949,310,1,1928472374,4,303,1181,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=738
דורות,דורות,336,DOROT,6,61,614,37,,1,756,0.8,0.7,,1941,330,15,1663560173,106,651,3840,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=336
דחי,דחי,475,DAHI,2,23,234,66,,2,636,,,0.6,,450,,2325872519,415,251,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=475
דייר אל-אסד,דייר אל-אסד,490,DEIR AL-ASAD,2,24,242,99,,2,11716,,,11.7,,270,,2254376005,467,260,1310,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=490
דייר חנא,דייר חנא,492,DEIR HANNA,2,24,241,99,,2,9831,,,9.5,,280,,2348075200,226,262,1360,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=492
דייר ראפאת,דייר ראפאת,493,DEIR RAFAT,1,11,112,26,444,2,83,,,0.1,,440,,1950863156,248,151,7004,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=493
דימונה,דימונה,2200,DIMONA,6,62,626,0,,1,33258,33,30.1,,1955,160,,2032855316,463,607,3450,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2200
דישון,דישון,2063,DISHON,2,21,212,55,,1,354,0.4,0.3,,1953,310,6,2488277637,442,253,1210,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2063
דלייה,דלייה,300,DALIYYA,2,23,236,13,,1,792,0.8,0.7,,1939,330,15,2072972171,204,254,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=300
דלתון,דלתון,431,DALTON,2,21,212,2,,1,869,0.9,0.9,,1950,310,2,2460576912,809,209,1230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=431
דלתון,דלתון,1709, ,2,21,212,2,,,,,,,,520,,2450377019,,209,1230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1709
